Country,Year,Production
Belgium-Luxembourg,2000,0.0
Belgium-Luxembourg,2001,0.0
Belgium-Luxembourg,2002,0.0
Belgium-Luxembourg,2003,0.0
Belgium-Luxembourg,2004,0.0
Belgium-Luxembourg,2005,0.0
Belgium-Luxembourg,2006,0.0
Belgium-Luxembourg,2007,0.0
Belgium-Luxembourg,2008,0.0
Belgium-Luxembourg,2009,0.0
Belgium-Luxembourg,2010,0.0
Belgium-Luxembourg,2011,0.0
Belgium-Luxembourg,2012,0.0
Belgium-Luxembourg,2013,0.0
Belize,1991,36.53
Belize,1992,41.67
Belize,1993,40.230000000000004
Belize,1994,39.16
Belize,1995,42.69
Belize,1996,40.42
Belize,1997,45.230000000000004
Belize,1998,42.97
Belize,1999,40.09
Belize,2000,42.89
Belize,2001,47.23
Belize,2002,52.07
Belize,2003,50.38
Belize,2004,51.2
Belize,2005,48.84
Belize,2006,46.21
Belize,2007,45.93
Belize,2008,45.32
Belize,2009,44.13
Belize,2010,47.71
Belize,2011,47.67
Belize,2012,51.47
Belize,2013,50.47
Benin,1991,9.48
Benin,1992,11.08
Benin,1993,12.760000000000002
Benin,1994,11.56
Benin,1995,10.940000000000001
Benin,1996,10.35
Benin,1997,10.89
Benin,1998,10.690000000000001
Benin,1999,13.309999999999999
Benin,2000,15.099999999999998
Benin,2001,13.350000000000001
Benin,2002,17.78
Benin,2003,18.18
Benin,2004,14.259999999999998
Benin,2005,13.2
Benin,2006,13.08
Benin,2007,13.06
Benin,2008,17.48
Benin,2009,16.16
Benin,2010,14.08
Benin,2011,23.47
Benin,2012,25.85
Benin,2013,25.189999999999998
Bermuda,1991,104.21000000000001
Bermuda,1992,94.59
Bermuda,1993,88.85
Bermuda,1994,88.03
Bermuda,1995,98.93
Bermuda,1996,96.28999999999999
Bermuda,1997,103.19
Bermuda,1998,102.66
Bermuda,1999,94.82000000000001
Bermuda,2000,99.85
Bermuda,2001,94.37
Bermuda,2002,96.24
Bermuda,2003,91.9
Bermuda,2004,78.26
Bermuda,2005,80.77
Bermuda,2006,94.47
Bermuda,2007,98.58000000000001
Bermuda,2008,110.47999999999999
Bermuda,2009,102.94
Bermuda,2010,95.92
Bermuda,2011,118.24000000000001
Bermuda,2012,111.61
Bermuda,2013,96.97
Bolivia (Plurinational State of),1991,39.54
Bolivia (Plurinational State of),1992,38.230000000000004
Bolivia (Plurinational State of),1993,39.06999999999999
Bolivia (Plurinational State of),1994,41.54
Bolivia (Plurinational State of),1995,42.32
Bolivia (Plurinational State of),1996,43.629999999999995
Bolivia (Plurinational State of),1997,45.04
Bolivia (Plurinational State of),1998,47.760000000000005
Bolivia (Plurinational State of),1999,47.800000000000004
Bolivia (Plurinational State of),2000,47.53
Bolivia (Plurinational State of),2001,48.23
Bolivia (Plurinational State of),2002,48.91
Bolivia (Plurinational State of),2003,48.92
Bolivia (Plurinational State of),2004,50.11
Bolivia (Plurinational State of),2005,53.79
Bolivia (Plurinational State of),2006,62.77
Bolivia (Plurinational State of),2007,70.13
Bolivia (Plurinational State of),2008,71.81
Bolivia (Plurinational State of),2009,64.09
Bolivia (Plurinational State of),2010,69.11
Bolivia (Plurinational State of),2011,68.23
Bolivia (Plurinational State of),2012,66.91
Bolivia (Plurinational State of),2013,66.38
Bosnia and Herzegovina,1991,0.0
Bosnia and Herzegovina,1992,14.749999999999998
Bosnia and Herzegovina,1993,15.04
Bosnia and Herzegovina,1994,17.98
Bosnia and Herzegovina,1995,20.2
Bosnia and Herzegovina,1996,27.89
Bosnia and Herzegovina,1997,24.7
Bosnia and Herzegovina,1998,22.54
Bosnia and Herzegovina,1999,18.560000000000002
Bosnia and Herzegovina,2000,17.169999999999998
Bosnia and Herzegovina,2001,19.479999999999997
Bosnia and Herzegovina,2002,22.279999999999998
Bosnia and Herzegovina,2003,19.08
Bosnia and Herzegovina,2004,18.8
Bosnia and Herzegovina,2005,20.57
Bosnia and Herzegovina,2006,19.23
Bosnia and Herzegovina,2007,20.86
Bosnia and Herzegovina,2008,24.77
Bosnia and Herzegovina,2009,27.34
Bosnia and Herzegovina,2010,29.549999999999997
Bosnia and Herzegovina,2011,33.49
Bosnia and Herzegovina,2012,35.41
Bosnia and Herzegovina,2013,32.2
Botswana,1991,30.93
Botswana,1992,32.84
Botswana,1993,29.7
Botswana,1994,23.87
Botswana,1995,31.960000000000004
Botswana,1996,31.060000000000002
Botswana,1997,26.75
Botswana,1998,22.4
Botswana,1999,20.26
Botswana,2000,23.22
Botswana,2001,20.79
Botswana,2002,23.02
Botswana,2003,19.78
Botswana,2004,26.149999999999995
Botswana,2005,27.95
Botswana,2006,25.48
Botswana,2007,24.68
Botswana,2008,27.77
Botswana,2009,28.750000000000004
Botswana,2010,30.4
Botswana,2011,29.150000000000002
Botswana,2012,29.92
Botswana,2013,28.939999999999998
Brazil,1991,52.64
Brazil,1992,53.68
Brazil,1993,55.3
Brazil,1994,60.559999999999995
Brazil,1995,69.02
Brazil,1996,70.25
Brazil,1997,71.93
Brazil,1998,72.22
Brazil,1999,76.42999999999999
Brazil,2000,78.98
Brazil,2001,76.38000000000001
Brazil,2002,78.69
Brazil,2003,79.67
Brazil,2004,81.21000000000001
Brazil,2005,74.52000000000001
Brazil,2006,77.9
Brazil,2007,80.53999999999999
Brazil,2008,86.19
Brazil,2009,85.22
Brazil,2010,89.46000000000001
Brazil,2011,92.98
Brazil,2012,93.53
Brazil,2013,97.58
Brunei Darussalam,1991,63.96
Brunei Darussalam,1992,60.47
Brunei Darussalam,1993,61.39999999999999
Brunei Darussalam,1994,75.43
Brunei Darussalam,1995,70.95
Brunei Darussalam,1996,75.79
Brunei Darussalam,1997,57.87
Brunei Darussalam,1998,56.209999999999994
Brunei Darussalam,1999,67.15
Brunei Darussalam,2000,59.620000000000005
Brunei Darussalam,2001,65.07
Brunei Darussalam,2002,70.32
Brunei Darussalam,2003,73.30000000000001
Brunei Darussalam,2004,69.42999999999999
Brunei Darussalam,2005,62.06
Brunei Darussalam,2006,68.89
Brunei Darussalam,2007,71.13
Brunei Darussalam,2008,72.1
Brunei Darussalam,2009,73.03
Brunei Darussalam,2010,76.06
Brunei Darussalam,2011,84.57
Brunei Darussalam,2012,84.57000000000001
Brunei Darussalam,2013,85.99
Bulgaria,1991,54.33
Bulgaria,1992,53.33
Bulgaria,1993,62.28
Bulgaria,1994,57.14999999999999
Bulgaria,1995,58.51
Bulgaria,1996,57.89
Bulgaria,1997,57.2
Bulgaria,1998,65.64
Bulgaria,1999,57.4
Bulgaria,2000,57.1
Bulgaria,2001,55.81
Bulgaria,2002,53.8
Bulgaria,2003,45.04
Bulgaria,2004,50.64
Bulgaria,2005,50.699999999999996
Bulgaria,2006,47.88
Bulgaria,2007,47.19
Bulgaria,2008,51.489999999999995
Bulgaria,2009,55.8
Bulgaria,2010,52.97
Bulgaria,2011,56.629999999999995
Bulgaria,2012,56.61
Bulgaria,2013,53.72
Burkina Faso,1991,13.77
Burkina Faso,1992,13.51
Burkina Faso,1993,13.6
Burkina Faso,1994,13.750000000000002
Burkina Faso,1995,13.81
Burkina Faso,1996,13.830000000000002
Burkina Faso,1997,14.04
Burkina Faso,1998,13.959999999999999
Burkina Faso,1999,13.82
Burkina Faso,2000,14.09
Burkina Faso,2001,14.179999999999998
Burkina Faso,2002,14.29
Burkina Faso,2003,16.9
Burkina Faso,2004,16.939999999999998
Burkina Faso,2005,17.220000000000002
Burkina Faso,2006,17.38
Burkina Faso,2007,16.81
Burkina Faso,2008,16.41
Burkina Faso,2009,16.37
Burkina Faso,2010,16.36
Burkina Faso,2011,16.25
Burkina Faso,2012,16.09
Burkina Faso,2013,11.72
Cabo Verde,1991,15.57
Cabo Verde,1992,29.07
Cabo Verde,1993,26.54
Cabo Verde,1994,19.55
Cabo Verde,1995,22.49
Cabo Verde,1996,21.349999999999998
Cabo Verde,1997,19.06
Cabo Verde,1998,23.189999999999998
Cabo Verde,1999,22.96
Cabo Verde,2000,25.169999999999998
Cabo Verde,2001,25.68
Cabo Verde,2002,25.139999999999997
Cabo Verde,2003,27.86
Cabo Verde,2004,30.17
Cabo Verde,2005,32.379999999999995
Cabo Verde,2006,32.93
Cabo Verde,2007,34.58
Cabo Verde,2008,34.04
Cabo Verde,2009,35.89
Cabo Verde,2010,35.41
Cabo Verde,2011,36.0
Cabo Verde,2012,33.65
Cabo Verde,2013,35.12
Cambodia,1991,12.84
Cambodia,1992,15.000000000000002
Cambodia,1993,15.14
Cambodia,1994,14.24
Cambodia,1995,14.11
Cambodia,1996,14.47
Cambodia,1997,15.219999999999999
Cambodia,1998,15.17
Cambodia,1999,15.150000000000002
Cambodia,2000,16.36
Cambodia,2001,16.04
Cambodia,2002,15.44
Cambodia,2003,15.990000000000002
Cambodia,2004,16.0
Cambodia,2005,16.07
Cambodia,2006,16.05
Cambodia,2007,16.15
Cambodia,2008,16.02
Cambodia,2009,16.33
Cambodia,2010,14.84
Cambodia,2011,14.95
Cambodia,2012,13.489999999999998
Cambodia,2013,13.209999999999999
Cameroon,1991,14.450000000000001
Cameroon,1992,14.330000000000002
Cameroon,1993,14.07
Cameroon,1994,13.35
Cameroon,1995,13.2
Cameroon,1996,14.01
Cameroon,1997,13.32
Cameroon,1998,13.739999999999998
Cameroon,1999,14.43
Cameroon,2000,14.479999999999999
Cameroon,2001,14.350000000000001
Cameroon,2002,14.41
Cameroon,2003,14.5
Cameroon,2004,16.7
Cameroon,2005,15.23
Cameroon,2006,15.190000000000001
Cameroon,2007,15.23
Cameroon,2008,15.65
Cameroon,2009,15.110000000000001
Cameroon,2010,14.28
Cameroon,2011,14.18
Cameroon,2012,13.12
Cameroon,2013,13.34
Canada,1991,91.0
Canada,1992,92.71
Canada,1993,91.41
Canada,1994,94.94
Canada,1995,93.72999999999999
Canada,1996,91.85
Canada,1997,92.84
Canada,1998,98.05000000000001
Canada,1999,102.05000000000001
Canada,2000,101.28
Canada,2001,101.28
Canada,2002,100.75
Canada,2003,99.19
Canada,2004,99.71000000000001
Canada,2005,95.38999999999999
Canada,2006,95.52000000000001
Canada,2007,98.78999999999999
Canada,2008,96.35
Canada,2009,94.30000000000001
Canada,2010,92.03
Canada,2011,91.88999999999999
Canada,2012,92.47
Canada,2013,90.75999999999999
Central African Republic,1991,26.009999999999998
Central African Republic,1992,26.31
Central African Republic,1993,26.499999999999996
Central African Republic,1994,26.37
Central African Republic,1995,27.150000000000002
Central African Republic,1996,31.300000000000004
Central African Republic,1997,27.74
Central African Republic,1998,27.56
Central African Republic,1999,27.189999999999998
Central African Republic,2000,32.01
Central African Republic,2001,31.709999999999997
Central African Republic,2002,32.28
Central African Republic,2003,31.26
Central African Republic,2004,33.089999999999996
Central African Republic,2005,33.36
Central African Republic,2006,33.59
Central African Republic,2007,34.870000000000005
Central African Republic,2008,35.01
Central African Republic,2009,35.209999999999994
Central African Republic,2010,37.0
Central African Republic,2011,37.7
Central African Republic,2012,37.52
Central African Republic,2013,29.45
Chad,1991,16.669999999999998
Chad,1992,16.930000000000003
Chad,1993,15.209999999999999
Chad,1994,12.91
Chad,1995,13.67
Chad,1996,13.8
Chad,1997,14.860000000000001
Chad,1998,15.360000000000001
Chad,1999,14.620000000000001
Chad,2000,13.75
Chad,2001,13.8
Chad,2002,13.37
Chad,2003,13.21
Chad,2004,13.0
Chad,2005,12.81
Chad,2006,12.680000000000001
Chad,2007,12.590000000000002
Chad,2008,12.52
Chad,2009,12.48
Chad,2010,12.55
Chad,2011,12.48
Chad,2012,12.260000000000002
Chad,2013,11.99
Chile,1991,38.18
Chile,1992,42.75
Chile,1993,47.97
Chile,1994,52.94
Chile,1995,56.37
Chile,1996,58.85
Chile,1997,60.940000000000005
Chile,1998,62.470000000000006
Chile,1999,62.099999999999994
Chile,2000,64.99000000000001
Chile,2001,65.59
Chile,2002,64.74000000000001
Chile,2003,67.0
Chile,2004,69.17
Chile,2005,70.37
Chile,2006,75.39
Chile,2007,77.78
Chile,2008,77.6
Chile,2009,73.94
Chile,2010,77.26
Chile,2011,79.52
Chile,2012,81.78999999999999
Chile,2013,85.7
"China, Hong Kong SAR",1991,101.89
"China, Hong Kong SAR",1992,107.96
"China, Hong Kong SAR",1993,104.17
"China, Hong Kong SAR",1994,118.58000000000001
"China, Hong Kong SAR",1995,122.43
"China, Hong Kong SAR",1996,118.7
"China, Hong Kong SAR",1997,115.66999999999999
"China, Hong Kong SAR",1998,118.13
"China, Hong Kong SAR",1999,120.27
"China, Hong Kong SAR",2000,121.97
"China, Hong Kong SAR",2001,115.82000000000001
"China, Hong Kong SAR",2002,112.61
"China, Hong Kong SAR",2003,117.61
"China, Hong Kong SAR",2004,126.66
"China, Hong Kong SAR",2005,131.69
"China, Hong Kong SAR",2006,135.17
"China, Hong Kong SAR",2007,137.57000000000002
"China, Hong Kong SAR",2008,138.01999999999998
"China, Hong Kong SAR",2009,140.95
"China, Hong Kong SAR",2010,152.16000000000003
"China, Hong Kong SAR",2011,153.91
"China, Hong Kong SAR",2012,157.57
"China, Hong Kong SAR",2013,153.12
"China, Macao SAR",1991,78.24
"China, Macao SAR",1992,82.49000000000001
"China, Macao SAR",1993,84.28999999999999
"China, Macao SAR",1994,87.4
"China, Macao SAR",1995,87.32
"China, Macao SAR",1996,82.93
"China, Macao SAR",1997,82.11
"China, Macao SAR",1998,76.4
"China, Macao SAR",1999,75.33999999999999
"China, Macao SAR",2000,78.03
"China, Macao SAR",2001,79.89
"China, Macao SAR",2002,82.76
"China, Macao SAR",2003,86.96
"China, Macao SAR",2004,94.55999999999999
"China, Macao SAR",2005,99.91000000000001
"China, Macao SAR",2006,93.65
"China, Macao SAR",2007,100.86
"China, Macao SAR",2008,113.41
"China, Macao SAR",2009,108.78999999999999
"China, Macao SAR",2010,107.17000000000002
"China, Macao SAR",2011,106.42000000000002
"China, Macao SAR",2012,120.92999999999999
"China, Macao SAR",2013,119.44999999999999
"China, mainland",1991,25.42
"China, mainland",1992,27.560000000000002
"China, mainland",1993,29.65
"China, mainland",1994,32.019999999999996
"China, mainland",1995,34.33
"China, mainland",1996,34.57
"China, mainland",1997,37.08
"China, mainland",1998,39.91
"China, mainland",1999,41.41
"China, mainland",2000,44.01
"China, mainland",2001,43.76
"China, mainland",2002,44.599999999999994
"China, mainland",2003,46.629999999999995
"China, mainland",2004,46.74
"China, mainland",2005,48.45
"China, mainland",2006,49.96
"China, mainland",2007,51.440000000000005
"China, mainland",2008,53.71
"China, mainland",2009,55.39
"China, mainland",2010,56.85
"China, mainland",2011,56.849999999999994
"China, mainland",2012,59.620000000000005
"China, mainland",2013,61.06
"China, Taiwan Province of",1991,68.01
"China, Taiwan Province of",1992,70.88999999999999
"China, Taiwan Province of",1993,74.25
"China, Taiwan Province of",1994,76.36
"China, Taiwan Province of",1995,75.69
"China, Taiwan Province of",1996,79.39
"China, Taiwan Province of",1997,84.69999999999999
"China, Taiwan Province of",1998,80.47
"China, Taiwan Province of",1999,80.97
"China, Taiwan Province of",2000,82.59
"China, Taiwan Province of",2001,80.64
"China, Taiwan Province of",2002,80.55000000000001
"China, Taiwan Province of",2003,79.33
"China, Taiwan Province of",2004,80.05000000000001
"China, Taiwan Province of",2005,79.17
"China, Taiwan Province of",2006,82.94
"China, Taiwan Province of",2007,80.3
"China, Taiwan Province of",2008,81.98
"China, Taiwan Province of",2009,83.85000000000001
"China, Taiwan Province of",2010,77.75
"China, Taiwan Province of",2011,79.50999999999999
"China, Taiwan Province of",2012,76.97999999999999
"China, Taiwan Province of",2013,77.7
Colombia,1991,35.489999999999995
Colombia,1992,33.16
Colombia,1993,34.06
Colombia,1994,36.190000000000005
Colombia,1995,38.86
Colombia,1996,36.550000000000004
Colombia,1997,35.37
Colombia,1998,35.97
Colombia,1999,34.67
Colombia,2000,35.09
Colombia,2001,35.63
Colombia,2002,35.94
Colombia,2003,35.45
Colombia,2004,36.97
Colombia,2005,40.33
Colombia,2006,42.18000000000001
Colombia,2007,43.400000000000006
Colombia,2008,44.27
Colombia,2009,43.68
Colombia,2010,45.8
Colombia,2011,46.42
Colombia,2012,48.31
Colombia,2013,50.8
Congo,1991,21.77
Congo,1992,27.63
Congo,1993,23.92
Congo,1994,19.07
Congo,1995,18.86
Congo,1996,17.18
Congo,1997,14.059999999999999
Congo,1998,16.5
Congo,1999,13.18
Congo,2000,14.59
Congo,2001,12.84
Congo,2002,14.959999999999999
Congo,2003,21.28
Congo,2004,20.38
Congo,2005,15.7
Congo,2006,19.37
Congo,2007,21.759999999999998
Congo,2008,21.61
Congo,2009,23.6
Congo,2010,25.73
Congo,2011,37.59
Congo,2012,24.05
Congo,2013,29.38
Costa Rica,1991,41.29
Costa Rica,1992,42.63
Costa Rica,1993,42.16
Costa Rica,1994,42.190000000000005
Costa Rica,1995,42.72
Costa Rica,1996,43.42
Costa Rica,1997,41.73
Costa Rica,1998,41.9
Costa Rica,1999,44.14
Costa Rica,2000,42.39
Costa Rica,2001,42.81999999999999
Costa Rica,2002,39.59
Costa Rica,2003,41.269999999999996
Costa Rica,2004,41.62
Costa Rica,2005,42.849999999999994
Costa Rica,2006,45.589999999999996
Costa Rica,2007,49.93
Costa Rica,2008,49.230000000000004
Costa Rica,2009,50.480000000000004
Costa Rica,2010,49.99
Costa Rica,2011,48.94
Costa Rica,2012,48.83
Costa Rica,2013,50.0
Côte d'Ivoire,1991,18.94
Côte d'Ivoire,1992,18.090000000000003
Côte d'Ivoire,1993,17.75
Côte d'Ivoire,1994,16.61
Côte d'Ivoire,1995,16.64
Côte d'Ivoire,1996,15.91
Côte d'Ivoire,1997,16.46
Côte d'Ivoire,1998,13.270000000000001
Côte d'Ivoire,1999,13.19
Côte d'Ivoire,2000,13.149999999999999
Côte d'Ivoire,2001,12.34
Côte d'Ivoire,2002,12.720000000000002
Côte d'Ivoire,2003,13.72
Côte d'Ivoire,2004,14.139999999999999
Côte d'Ivoire,2005,13.94
Côte d'Ivoire,2006,14.09
Côte d'Ivoire,2007,13.63
